articulo,all_text,link
ARTÍCULO 2.3.2.4. PLAZO DE IMPLEMENTACIÓN DE LA COMPENSACIÓN AUTOMÁTICA. ,ARTÍCULO 2.3.2.4. PLAZO DE IMPLEMENTACIÓN DE LA COMPENSACIÓN AUTOMÁTICA. <Artículo derogado por el artículo 80 de la Resolución 5586 de 2019> ,https://normograma.info/crc/docs/resolucion_crc_5586_2019.htm#80
ARTÍCULO 2.4.1.1. CLÁUSULAS DE PERMANENCIA MÍNIMA VIGENTES. ,ARTÍCULO 2.4.1.1. CLÁUSULAS DE PERMANENCIA MÍNIMA VIGENTES. <Artículo derogado por el artículo 80 de la Resolución 5586 de 2019> ,https://normograma.info/crc/docs/resolucion_crc_5586_2019.htm#80
ARTÍCULO 2.5.1.4. PLAZOS DE IMPLEMENTACIÓN. ,ARTÍCULO 2.5.1.4. PLAZOS DE IMPLEMENTACIÓN. <Artículo derogado por el artículo 80 de la Resolución 5586 de 2019> ,https://normograma.info/crc/docs/resolucion_crc_5586_2019.htm#80
ARTÍCULO 2.6.2.6. DEBER DE INFORMACIÓN DE LOS PROVEEDORES DE REDES Y SERVICIOS DE TELECOMUNICACIONES. ,ARTÍCULO 2.6.2.6. DEBER DE INFORMACIÓN DE LOS PROVEEDORES DE REDES Y SERVICIOS DE TELECOMUNICACIONES. <Artículo derogado por el artículo 80 de la Resolución 5586 de 2019> ,https://normograma.info/crc/docs/resolucion_crc_5586_2019.htm#80
ARTÍCULO 2.6.3.2. ASPECTOS TÉCNICOS. ,ARTÍCULO 2.6.3.2. ASPECTOS TÉCNICOS. <Artículo derogado por el artículo 80 de la Resolución 5586 de 2019> ,https://normograma.info/crc/docs/resolucion_crc_5586_2019.htm#80
ARTÍCULO 2.6.3.4. MECANISMO PARA LA CONTENCIÓN DE LOS COSTOS DE INCERTIDUMBRE. ,ARTÍCULO 2.6.3.4. MECANISMO PARA LA CONTENCIÓN DE LOS COSTOS DE INCERTIDUMBRE. <Artículo derogado por el artículo 19 de la Resolución 5929 de 2020> ,https://normograma.info/crc/docs/resolucion_crc_5929_2020.htm#19
ARTÍCULO 2.6.3.5. CAMPAÑAS EDUCATIVAS RELATIVAS A MECANISMOS DE CONTENCIÓN DE COSTOS DE INCERTIDUMBRE. ,ARTÍCULO 2.6.3.5. CAMPAÑAS EDUCATIVAS RELATIVAS A MECANISMOS DE CONTENCIÓN DE COSTOS DE INCERTIDUMBRE. <Artículo derogado por el artículo 80 de la Resolución 5586 de 2019> ,https://normograma.info/crc/docs/resolucion_crc_5586_2019.htm#80
ARTÍCULO 2.6.6.1. NATURALEZA DEL COMITÉ TÉCNICO DE PORTABILIDAD - CTP. ,ARTÍCULO 2.6.6.1. NATURALEZA DEL COMITÉ TÉCNICO DE PORTABILIDAD - CTP. <Artículo derogado por el artículo 80 de la Resolución 5586 de 2019> ,https://normograma.info/crc/docs/resolucion_crc_5586_2019.htm#80
ARTÍCULO 2.6.6.2. CONFORMACIÓN DEL COMITÉ TÉCNICO DE PORTABILIDAD. ,ARTÍCULO 2.6.6.2. CONFORMACIÓN DEL COMITÉ TÉCNICO DE PORTABILIDAD. <Artículo derogado por el artículo 80 de la Resolución 5586 de 2019> ,https://normograma.info/crc/docs/resolucion_crc_5586_2019.htm#80
ARTÍCULO 2.6.6.3. SESIÓN DE CONSTITUCIÓN DEL CTP. ,ARTÍCULO 2.6.6.3. SESIÓN DE CONSTITUCIÓN DEL CTP. <Artículo derogado por el artículo 80 de la Resolución 5586 de 2019> ,https://normograma.info/crc/docs/resolucion_crc_5586_2019.htm#80
ARTÍCULO 2.6.6.4. DE LAS SESIONES DEL CTP. ,ARTÍCULO 2.6.6.4. DE LAS SESIONES DEL CTP. <Artículo derogado por el artículo 80 de la Resolución 5586 de 2019> ,https://normograma.info/crc/docs/resolucion_crc_5586_2019.htm#80
ARTÍCULO 2.6.6.5. MAYORÍA DECISORIA. ,ARTÍCULO 2.6.6.5. MAYORÍA DECISORIA. <Artículo derogado por el artículo 80 de la Resolución 5586 de 2019> ,https://normograma.info/crc/docs/resolucion_crc_5586_2019.htm#80
ARTÍCULO 2.6.6.6. ATRIBUCIONES DEL COMITÉ TÉCNICO DE PORTABILIDAD. ,ARTÍCULO 2.6.6.6. ATRIBUCIONES DEL COMITÉ TÉCNICO DE PORTABILIDAD. <Artículo derogado por el artículo 80 de la Resolución 5586 de 2019> ,https://normograma.info/crc/docs/resolucion_crc_5586_2019.htm#80
ARTÍCULO 2.6.7.5. PLAZO PARA LA SUSCRIPCIÓN DEL CONTRATO. ,ARTÍCULO 2.6.7.5. PLAZO PARA LA SUSCRIPCIÓN DEL CONTRATO. <Artículo derogado por el artículo 80 de la Resolución 5586 de 2019> ,https://normograma.info/crc/docs/resolucion_crc_5586_2019.htm#80
ARTÍCULO 2.6.8.1. CRONOGRAMA DE IMPLEMENTACIÓN DE LA PORTABILIDAD NUMÉRICA. ,ARTÍCULO 2.6.8.1. CRONOGRAMA DE IMPLEMENTACIÓN DE LA PORTABILIDAD NUMÉRICA. <Artículo derogado por el artículo 80 de la Resolución 5586 de 2019> ,https://normograma.info/crc/docs/resolucion_crc_5586_2019.htm#80
ARTÍCULO 2.6.9.1. SANCIONES. ,ARTÍCULO 2.6.9.1. SANCIONES. <Artículo derogado por el artículo 80 de la Resolución 5586 de 2019> ,https://normograma.info/crc/docs/resolucion_crc_5586_2019.htm#80
ARTÍCULO 2.6.10.1. DEBER DE DIVULGACIÓN. ,ARTÍCULO 2.6.10.1. DEBER DE DIVULGACIÓN. <Artículo derogado por el artículo 80 de la Resolución 5586 de 2019> ,https://normograma.info/crc/docs/resolucion_crc_5586_2019.htm#80
ARTÍCULO 2.6.10.2. NÚMEROS DE SERVICIOS PORTADOS. ,ARTÍCULO 2.6.10.2. NÚMEROS DE SERVICIOS PORTADOS. <Artículo derogado por el artículo 80 de la Resolución 5586 de 2019> ,https://normograma.info/crc/docs/resolucion_crc_5586_2019.htm#80
ARTÍCULO 2.6.11.3. SEGUIMIENTO Y ACOMPAÑAMIENTO DEL PROCESO DE PORTABILIDAD NUMÉRICA. ,ARTÍCULO 2.6.11.3. SEGUIMIENTO Y ACOMPAÑAMIENTO DEL PROCESO DE PORTABILIDAD NUMÉRICA. <Artículo derogado por el artículo 80 de la Resolución 5586 de 2019> ,https://normograma.info/crc/docs/resolucion_crc_5586_2019.htm#80
ARTÍCULO 2.6.13.2. ADECUACIONES A PROCESOS ENTRE PROVEEDORES. ,ARTÍCULO 2.6.13.2. ADECUACIONES A PROCESOS ENTRE PROVEEDORES. <Artículo derogado por el artículo 80 de la Resolución 5586 de 2019> ,https://normograma.info/crc/docs/resolucion_crc_5586_2019.htm#80
ARTÍCULO 2.6.17.1. OBJETO DEL COMITÉ TÉCNICO DE PORTABILIDAD -CTP-. ,ARTÍCULO 2.6.17.1. OBJETO DEL COMITÉ TÉCNICO DE PORTABILIDAD -CTP-. <Artículo derogado por el artículo 80 de la Resolución 5586 de 2019> ,https://normograma.info/crc/docs/resolucion_crc_5586_2019.htm#80
ARTÍCULO 2.6.17.2. ALCANCE. ,ARTÍCULO 2.6.17.2. ALCANCE. <Artículo derogado por el artículo 80 de la Resolución 5586 de 2019> ,https://normograma.info/crc/docs/resolucion_crc_5586_2019.htm#80
ARTÍCULO 2.6.17.3. CONFORMACIÓN DEL COMITÉ TÉCNICO DE PORTABILIDAD -CTP-. ,ARTÍCULO 2.6.17.3. CONFORMACIÓN DEL COMITÉ TÉCNICO DE PORTABILIDAD -CTP-. <Artículo derogado por el artículo 80 de la Resolución 5586 de 2019> ,https://normograma.info/crc/docs/resolucion_crc_5586_2019.htm#80
ARTÍCULO 2.6.17.4. MIEMBROS DEL COMITÉ TÉCNICO DE PORTABILIDAD -CTP- CON CAPACIDAD DE VOTO. ,ARTÍCULO 2.6.17.4. MIEMBROS DEL COMITÉ TÉCNICO DE PORTABILIDAD -CTP- CON CAPACIDAD DE VOTO. <Artículo derogado por el artículo 80 de la Resolución 5586 de 2019> ,https://normograma.info/crc/docs/resolucion_crc_5586_2019.htm#80
ARTÍCULO 2.6.17.5. FUNCIONES DEL COMITÉ TÉCNICO DE PORTABILIDAD -CTP-. ,ARTÍCULO 2.6.17.5. FUNCIONES DEL COMITÉ TÉCNICO DE PORTABILIDAD -CTP-. <Artículo derogado por el artículo 80 de la Resolución 5586 de 2019> ,https://normograma.info/crc/docs/resolucion_crc_5586_2019.htm#80
ARTÍCULO 2.6.17.6. FUNCIONES DE LA PRESIDENCIA DEL CTP. ,ARTÍCULO 2.6.17.6. FUNCIONES DE LA PRESIDENCIA DEL CTP. <Artículo derogado por el artículo 80 de la Resolución 5586 de 2019> ,https://normograma.info/crc/docs/resolucion_crc_5586_2019.htm#80
ARTÍCULO 2.6.17.7. FUNCIONES DE LA SECRETARÍA DEL CTP. ,ARTÍCULO 2.6.17.7. FUNCIONES DE LA SECRETARÍA DEL CTP. <Artículo derogado por el artículo 80 de la Resolución 5586 de 2019> ,https://normograma.info/crc/docs/resolucion_crc_5586_2019.htm#80
ARTÍCULO 2.6.17.8. CONVOCATORIA PARA LA CELEBRACIÓN DE SESIONES. ,ARTÍCULO 2.6.17.8. CONVOCATORIA PARA LA CELEBRACIÓN DE SESIONES. <Artículo derogado por el artículo 80 de la Resolución 5586 de 2019> ,https://normograma.info/crc/docs/resolucion_crc_5586_2019.htm#80
ARTÍCULO 2.6.17.9. SESIONES. ,ARTÍCULO 2.6.17.9. SESIONES. <Artículo derogado por el artículo 80 de la Resolución 5586 de 2019> ,https://normograma.info/crc/docs/resolucion_crc_5586_2019.htm#80
ARTÍCULO 2.6.17.10. ACTAS. ,ARTÍCULO 2.6.17.10. ACTAS. <Artículo derogado por el artículo 80 de la Resolución 5586 de 2019> ,https://normograma.info/crc/docs/resolucion_crc_5586_2019.htm#80
ARTÍCULO 2.6.17.11. PUBLICIDAD DE LAS ACTAS Y LOS DOCUMENTOS DEL COMITÉ TÉCNICO DE PORTABILIDAD -CTP-. ,ARTÍCULO 2.6.17.11. PUBLICIDAD DE LAS ACTAS Y LOS DOCUMENTOS DEL COMITÉ TÉCNICO DE PORTABILIDAD -CTP-. <Artículo derogado por el artículo 80 de la Resolución 5586 de 2019> ,https://normograma.info/crc/docs/resolucion_crc_5586_2019.htm#80
ARTÍCULO 2.6.17.12. VIGENCIA DEL COMITÉ TÉCNICO DE PORTABILIDAD -CTP-. ,ARTÍCULO 2.6.17.12. VIGENCIA DEL COMITÉ TÉCNICO DE PORTABILIDAD -CTP-. <Artículo derogado por el artículo 80 de la Resolución 5586 de 2019> ,https://normograma.info/crc/docs/resolucion_crc_5586_2019.htm#80
ARTÍCULO 2.7.3.11. CRITERIOS PARA LA DETECCIÓN Y CONTROL INICIAL DE EQUIPOS TERMINALES MÓVILES. ,ARTÍCULO 2.7.3.11. CRITERIOS PARA LA DETECCIÓN Y CONTROL INICIAL DE EQUIPOS TERMINALES MÓVILES. <Artículo derogado por el artículo 80 de la Resolución 5586 de 2019> ,https://normograma.info/crc/docs/resolucion_crc_5586_2019.htm#80
ARTÍCULO 2.7.4.1. CONDICIONES PARA LA ALIMENTACIÓN DE LA BDA. ,ARTÍCULO 2.7.4.1. CONDICIONES PARA LA ALIMENTACIÓN DE LA BDA. <Artículo derogado por el artículo 80 de la Resolución 5586 de 2019> ,https://normograma.info/crc/docs/resolucion_crc_5586_2019.htm#80
ARTÍCULO 2.7.4.2. CONDICIONES PARA LA IDENTIFICACIÓN DE IMEI QUE OPERAN EN LAS REDES DE LOS PRSTM. ,ARTÍCULO 2.7.4.2. CONDICIONES PARA LA IDENTIFICACIÓN DE IMEI QUE OPERAN EN LAS REDES DE LOS PRSTM. <Artículo derogado por el artículo 80 de la Resolución 5586 de 2019> ,https://normograma.info/crc/docs/resolucion_crc_5586_2019.htm#80
ARTÍCULO 2.7.4.3. CONDICIONES PARA LA DEPURACIÓN DE IMEI QUE OPERAN EN LAS REDES DE LOS PRSTM. ,ARTÍCULO 2.7.4.3. CONDICIONES PARA LA DEPURACIÓN DE IMEI QUE OPERAN EN LAS REDES DE LOS PRSTM. <Artículo derogado por el artículo 80 de la Resolución 5586 de 2019> ,https://normograma.info/crc/docs/resolucion_crc_5586_2019.htm#80
ARTÍCULO 2.7.5.2. TIEMPOS DE IMPLEMENTACIÓN. ,ARTÍCULO 2.7.5.2. TIEMPOS DE IMPLEMENTACIÓN. <Artículo derogado por el artículo 80 de la Resolución 5586 de 2019> ,https://normograma.info/crc/docs/resolucion_crc_5586_2019.htm#80
ARTÍCULO 2.7.5.4. DELEGACIÓN. ,ARTÍCULO 2.7.5.4. DELEGACIÓN. <Artículo derogado por el artículo 80 de la Resolución 5586 de 2019> ,https://normograma.info/crc/docs/resolucion_crc_5586_2019.htm#80
ARTÍCULO 2.7.5.5. CONTROL Y VIGILANCIA. ,ARTÍCULO 2.7.5.5. CONTROL Y VIGILANCIA. <Artículo derogado por el artículo 80 de la Resolución 5586 de 2019> ,https://normograma.info/crc/docs/resolucion_crc_5586_2019.htm#80
ARTÍCULO 2.7.5.6. SANCIONES. ,ARTÍCULO 2.7.5.6. SANCIONES. <Artículo derogado por el artículo 80 de la Resolución 5586 de 2019> ,https://normograma.info/crc/docs/resolucion_crc_5586_2019.htm#80
ARTÍCULO 2.7.6.12. VIGENCIA DEL COMITÉ TÉCNICO DE SEGUIMIENTO -CTS-. ,ARTÍCULO 2.7.6.12. VIGENCIA DEL COMITÉ TÉCNICO DE SEGUIMIENTO -CTS-. <Artículo derogado por el artículo 80 de la Resolución 5586 de 2019> ,https://normograma.info/crc/docs/resolucion_crc_5586_2019.htm#80
ARTÍCULO 2.7.7.1. OBJETO. ,ARTÍCULO 2.7.7.1. OBJETO. <Artículo derogado por el artículo 80 de la Resolución 5586 de 2019> ,https://normograma.info/crc/docs/resolucion_crc_5586_2019.htm#80
ARTÍCULO 2.7.7.2. ÁMBITO DE APLICACIÓN. ,ARTÍCULO 2.7.7.2. ÁMBITO DE APLICACIÓN. <Artículo derogado por el artículo 80 de la Resolución 5586 de 2019> ,https://normograma.info/crc/docs/resolucion_crc_5586_2019.htm#80
"ARTÍCULO 2.7.7.3. OBLIGACIONES DE VALIDACIÓN, VERIFICACIÓN Y CONTROL DE EQUIPOS TERMINALES MÓVILES. ","ARTÍCULO 2.7.7.3. OBLIGACIONES DE VALIDACIÓN, VERIFICACIÓN Y CONTROL DE EQUIPOS TERMINALES MÓVILES. <Artículo derogado por el artículo 80 de la Resolución 5586 de 2019> ",https://normograma.info/crc/docs/resolucion_crc_5586_2019.htm#80
ARTÍCULO 2.7.7.4. DESARROLLO DE LA ETAPA DE VALIDACIÓN Y DIAGNÓSTICO PRELIMINAR DE EQUIPOS TERMINALES MÓVILES EN COLOMBIA. ,ARTÍCULO 2.7.7.4. DESARROLLO DE LA ETAPA DE VALIDACIÓN Y DIAGNÓSTICO PRELIMINAR DE EQUIPOS TERMINALES MÓVILES EN COLOMBIA. <Artículo derogado por el artículo 80 de la Resolución 5586 de 2019> ,https://normograma.info/crc/docs/resolucion_crc_5586_2019.htm#80
ARTÍCULO 2.7.7.6. DEBER DE DIVULGACIÓN. ,ARTÍCULO 2.7.7.6. DEBER DE DIVULGACIÓN. <Artículo derogado por el artículo 80 de la Resolución 5586 de 2019> ,https://normograma.info/crc/docs/resolucion_crc_5586_2019.htm#80
ARTÍCULO 2.8.4.2. SANCIONES. ,ARTÍCULO 2.8.4.2. SANCIONES. <Artículo derogado por el artículo 80 de la Resolución 5586 de 2019> ,https://normograma.info/crc/docs/resolucion_crc_5586_2019.htm#80
ARTÍCULO 2.10.1.1. ÁMBITO DE APLICACIÓN. ,ARTÍCULO 2.10.1.1. ÁMBITO DE APLICACIÓN. <Artículo derogado por el artículo 80 de la Resolución 5586 de 2019> ,https://normograma.info/crc/docs/resolucion_crc_5586_2019.htm#80
ARTÍCULO 2.10.1.2. CONSUMO BÁSICO DE SUBSISTENCIA. ,ARTÍCULO 2.10.1.2. CONSUMO BÁSICO DE SUBSISTENCIA. <Artículo derogado por el artículo 80 de la Resolución 5586 de 2019> ,https://normograma.info/crc/docs/resolucion_crc_5586_2019.htm#80
ARTÍCULO 3.1.5.2. APLICACIÓN DE OTRAS MEDIDAS REGULATORIAS. ,ARTÍCULO 3.1.5.2. APLICACIÓN DE OTRAS MEDIDAS REGULATORIAS. <Artículo derogado por el artículo 80 de la Resolución 5586 de 2019> ,https://normograma.info/crc/docs/resolucion_crc_5586_2019.htm#80
ARTÍCULO 4.1.8.5. ENTREGA DE INFORMACIÓN DE LOS USUARIOS. ,ARTÍCULO 4.1.8.5. ENTREGA DE INFORMACIÓN DE LOS USUARIOS. <Artículo derogado por el artículo 80 de la Resolución 5586 de 2019> ,https://normograma.info/crc/docs/resolucion_crc_5586_2019.htm#80
ARTÍCULO 4.1.9.1. GRUPO DE INDUSTRIA. ,ARTÍCULO 4.1.9.1. GRUPO DE INDUSTRIA. <Artículo derogado por el artículo 80 de la Resolución 5586 de 2019> ,https://normograma.info/crc/docs/resolucion_crc_5586_2019.htm#80
ARTÍCULO 4.1.9.2. DISPOSICIONES TRANSITORIAS. ,ARTÍCULO 4.1.9.2. DISPOSICIONES TRANSITORIAS. <Artículo derogado por el artículo 80 de la Resolución 5586 de 2019> ,https://normograma.info/crc/docs/resolucion_crc_5586_2019.htm#80
ARTÍCULO 4.2.4.14. PROCESO DE TRANSICIÓN PARA LA NUMERACIÓN. ,ARTÍCULO 4.2.4.14. PROCESO DE TRANSICIÓN PARA LA NUMERACIÓN. <Artículo derogado por el artículo 80 de la Resolución 5586 de 2019> ,https://normograma.info/crc/docs/resolucion_crc_5586_2019.htm#80
ARTÍCULO 4.2.5.1. REPORTES DE INFORMACIÓN A CARGO DE LOS INTEGRADORES TECNOLÓGICOS. ,ARTÍCULO 4.2.5.1. REPORTES DE INFORMACIÓN A CARGO DE LOS INTEGRADORES TECNOLÓGICOS. <Artículo derogado por el artículo 80 de la Resolución 5586 de 2019> ,https://normograma.info/crc/docs/resolucion_crc_5586_2019.htm#80
ARTÍCULO 4.2.6.1. DEBER DE INFORMACIÓN Y CONTROL DE CONSUMO. ,ARTÍCULO 4.2.6.1. DEBER DE INFORMACIÓN Y CONTROL DE CONSUMO. <Artículo derogado por el artículo 12 de la Resolución 5111 de 2017> ,https://normograma.info/crc/docs/resolucion_crc_5111_2017.htm#12
ARTÍCULO 4.2.6.2. INFORMACIÓN PREVIA A LA PRESTACIÓN DEL SERVICIO. ,ARTÍCULO 4.2.6.2. INFORMACIÓN PREVIA A LA PRESTACIÓN DEL SERVICIO. <Artículo derogado por el artículo 12 de la Resolución 5111 de 2017> ,https://normograma.info/crc/docs/resolucion_crc_5111_2017.htm#12
ARTÍCULO 4.2.6.3. INFORMACIÓN DURANTE LA PRESTACIÓN DEL SERVICIO DE SUSCRIPCIÓN. ,ARTÍCULO 4.2.6.3. INFORMACIÓN DURANTE LA PRESTACIÓN DEL SERVICIO DE SUSCRIPCIÓN. <Artículo derogado por el artículo 12 de la Resolución 5111 de 2017> ,https://normograma.info/crc/docs/resolucion_crc_5111_2017.htm#12
ARTÍCULO 4.2.6.4. MANIFESTACIÓN DE LA VOLUNTAD DEL USUARIO DE CONTRATAR EL SERVICIO.,ARTÍCULO 4.2.6.4. MANIFESTACIÓN DE LA VOLUNTAD DEL USUARIO DE CONTRATAR EL SERVICIO. <Artículo derogado por el artículo 12 de la Resolución 5111 de 2017> ,https://normograma.info/crc/docs/resolucion_crc_5111_2017.htm#12
ARTÍCULO 4.2.6.5. NO PROVISIÓN DEL SERVICIO.,ARTÍCULO 4.2.6.5. NO PROVISIÓN DEL SERVICIO. <Artículo derogado por el artículo 12 de la Resolución 5111 de 2017> ,https://normograma.info/crc/docs/resolucion_crc_5111_2017.htm#12
ARTÍCULO 4.2.6.6. FACTURACIÓN.,ARTÍCULO 4.2.6.6. FACTURACIÓN. <Artículo derogado por el artículo 12 de la Resolución 5111 de 2017>  ,https://normograma.info/crc/docs/resolucion_crc_5111_2017.htm#12
ARTÍCULO 4.2.6.7. ESTANDARIZACIÓN DE LOS PROCEDIMIENTOS.,ARTÍCULO 4.2.6.7. ESTANDARIZACIÓN DE LOS PROCEDIMIENTOS. <Artículo derogado por el artículo 12 de la Resolución 5111 de 2017> ,https://normograma.info/crc/docs/resolucion_crc_5111_2017.htm#12
ARTÍCULO 4.2.6.8. PROCEDIMIENTOS PARA LA PRESTACIÓN DE SERVICIOS DE SUSCRIPCIÓN DE TARIFA CON PRIMA BASADOS EN EL ENVÍO DE MENSAJES SMS Y/O MMS O MENSAJES A TRAVÉS DE USSD.,ARTÍCULO 4.2.6.8. PROCEDIMIENTOS PARA LA PRESTACIÓN DE SERVICIOS DE SUSCRIPCIÓN DE TARIFA CON PRIMA BASADOS EN EL ENVÍO DE MENSAJES SMS Y/O MMS O MENSAJES A TRAVÉS DE USSD. <Artículo derogado por el artículo 12 de la Resolución 5111 de 2017> ,https://normograma.info/crc/docs/resolucion_crc_5111_2017.htm#12
ARTÍCULO 4.2.6.9. SOLICITUD DE CANCELACIÓN DE UN SERVICIO DE SUSCRIPCIÓN.,ARTÍCULO 4.2.6.9. SOLICITUD DE CANCELACIÓN DE UN SERVICIO DE SUSCRIPCIÓN. <Artículo derogado por el artículo 12 de la Resolución 5111 de 2017> ,https://normograma.info/crc/docs/resolucion_crc_5111_2017.htm#12
ARTÍCULO 4.2.8.1. FORMATOS DE REPORTE DE INFORMACIÓN. ,ARTÍCULO 4.2.8.1. FORMATOS DE REPORTE DE INFORMACIÓN. <Artículo derogado por el artículo 80 de la Resolución 5586 de 2019> ,https://normograma.info/crc/docs/resolucion_crc_5586_2019.htm#80
ARTÍCULO 4.3.3.1. IMPLEMENTACIÓN DE DESBORDES. ,ARTÍCULO 4.3.3.1. IMPLEMENTACIÓN DE DESBORDES. <Artículo derogado por el artículo 80 de la Resolución 5586 de 2019> ,https://normograma.info/crc/docs/resolucion_crc_5586_2019.htm#80
ARTÍCULO 4.3.3.3. MEDIDAS REGULATORIAS PARTICULARES. ,ARTÍCULO 4.3.3.3. MEDIDAS REGULATORIAS PARTICULARES. <Artículo derogado por el artículo 80 de la Resolución 5586 de 2019> ,https://normograma.info/crc/docs/resolucion_crc_5586_2019.htm#80
ARTÍCULO 4.3.3.4. TRASLADO DE EFICIENCIAS Y BENEFICIOS AL USUARIO. ,ARTÍCULO 4.3.3.4. TRASLADO DE EFICIENCIAS Y BENEFICIOS AL USUARIO. <Artículo derogado por el artículo 9 de la Resolución 5108 de 2017> ,https://normograma.info/crc/docs/resolucion_crc_5108_2017.htm#9
ARTÍCULO 4.3.3.6. REPORTE DE INFORMACIÓN REGULATORIA Y DEL DESPLIEGUE DE INFRAESTRUCTURA. ,ARTÍCULO 4.3.3.6. REPORTE DE INFORMACIÓN REGULATORIA Y DEL DESPLIEGUE DE INFRAESTRUCTURA. <Artículo derogado por el artículo 80 de la Resolución 5586 de 2019> ,https://normograma.info/crc/docs/resolucion_crc_5586_2019.htm#80
ARTÍCULO 4.6.1.1. ÁMBITO Y OBJETO DE APLICACIÓN. ,ARTÍCULO 4.6.1.1. ÁMBITO Y OBJETO DE APLICACIÓN. <Artículo derogado por el artículo 80 de la Resolución 5586 de 2019> ,https://normograma.info/crc/docs/resolucion_crc_5586_2019.htm#80
ARTÍCULO 4.6.2.1. TARIFA MÍNIMA PARA LOS SERVICIOS DE MENSAJERÍA ESPECIALIZADA MASIVA. ,ARTÍCULO 4.6.2.1. TARIFA MÍNIMA PARA LOS SERVICIOS DE MENSAJERÍA ESPECIALIZADA MASIVA. <Artículo derogado por el artículo 80 de la Resolución 5586 de 2019> ,https://normograma.info/crc/docs/resolucion_crc_5586_2019.htm#80
